                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0859,                 6.2116,                0.91353,                0.43651,                0.23673,                0.20605,                0.04884,                 3.2849,                 2.1489,                0.91023,               0.070075,               0.003325,               0.003325
                      1,                 2.6499,                 2.1242,                0.85447,                0.76858,                0.52662,                0.59417,                 0.1843,                 2.6188,                  1.876,                0.88455,               0.039745,              0.0063287,              0.0063287
                      2,                 2.5909,                 2.1038,                0.84939,                0.68206,                0.46569,                 0.5129,                0.16068,                 2.4507,                  1.947,                0.87352,              0.0090858,              0.0090025,              0.0090025
                      3,                  2.428,                 1.9928,                0.83857,                0.76022,                0.52511,                0.59215,                0.24671,                 2.2099,                 2.0241,                0.86053,               0.008515,               0.008515,               0.008515
                      4,                 2.2368,                 1.8384,                0.82757,                0.78251,                0.57013,                0.64764,                 0.2638,                 2.2281,                 1.6271,                0.86141,               0.008515,               0.008515,               0.008515
                      5,                 2.1241,                 1.7585,                0.82112,                0.80531,                0.61264,                0.68761,                0.36026,                  1.736,                 1.4549,                0.84394,                0.00802,                0.00802,                0.00802
                      6,                 2.0405,                 1.6877,                0.81629,                0.81246,                0.56387,                0.66809,                0.31712,                 1.9622,                 1.6165,                 0.8503,               0.007525,               0.007525,               0.007525
                      7,                 1.9801,                 1.6236,                 0.8142,                0.79793,                0.60005,                 0.6834,                0.38047,                 1.6482,                 1.4067,                0.84169,                0.00703,                0.00703,                0.00703
                      8,                 1.9147,                  1.562,                0.80814,                0.81331,                0.63766,                0.72137,                 0.4289,                 1.5397,                 1.2631,                0.83548,               0.006535,               0.006535,               0.006535
                      9,                 1.8541,                 1.5107,                0.80543,                0.80693,                 0.6022,                0.69877,                 0.3331,                 1.7999,                 1.4098,                0.84494,                0.00604,                0.00604,                0.00604
                     10,                 1.7494,                 1.4744,                0.80958,                0.79473,                0.60791,                0.69304,                0.37569,                 1.6818,                 1.3283,                 0.8393,               0.005545,               0.005545,               0.005545
                     11,                 1.7238,                 1.4552,                0.80595,                0.79723,                0.64454,                0.71776,                0.37336,                 1.6775,                 1.2749,                0.83775,                0.00505,                0.00505,                0.00505
                     12,                 1.6843,                 1.3977,                0.80414,                0.83438,                0.64627,                0.73572,                0.41341,                 1.5944,                  1.249,                0.83128,               0.004555,               0.004555,               0.004555
                     13,                 1.6359,                 1.3409,                0.80243,                0.82193,                 0.6508,                0.73567,                0.43733,                 1.4642,                  1.215,                0.83098,                0.00406,                0.00406,                0.00406
                     14,                 1.6068,                 1.3287,                0.79796,                0.82662,                0.65044,                0.73797,                0.42979,                  1.473,                 1.2378,                0.83187,               0.003565,               0.003565,               0.003565
                     15,                 1.5779,                 1.2845,                0.79618,                0.84963,                0.64678,                0.74296,                0.44765,                 1.4515,                 1.2648,                0.83054,                0.00307,                0.00307,                0.00307
                     16,                 1.5679,                 1.2657,                0.79875,                0.81453,                0.67751,                0.75121,                0.42504,                 1.5311,                  1.168,                0.82879,               0.002575,               0.002575,               0.002575
                     17,                 1.5168,                 1.2204,                0.79973,                0.83549,                0.68626,                0.76579,                0.44052,                   1.47,                 1.1598,                0.82486,                0.00208,                0.00208,                0.00208
                     18,                 1.4923,                 1.2066,                 0.7919,                0.83467,                0.68108,                0.76265,                0.46064,                 1.3792,                 1.0936,                0.82621,               0.001585,               0.001585,               0.001585
                     19,                 1.4701,                 1.1868,                0.78985,                0.84275,                0.68749,                0.77678,                 0.4581,                 1.4379,                  1.106,                0.82405,                0.00109,                0.00109,                0.00109
